"";"provincia";"sesso";"classe_eta";"popolazione_2018";"popolazione_2019"
"1";"Abruzzo";"femmine";"10-14 anni";27937;27893
"2";"Abruzzo";"femmine";"100 anni e più";320;330
"3";"Abruzzo";"femmine";"15-19 anni";28004;27908
"4";"Abruzzo";"femmine";"20-24 anni";30099;29528
"5";"Abruzzo";"femmine";"25-29 anni";33938;33083
"6";"Abruzzo";"femmine";"30-34 anni";36316;35450
"7";"Abruzzo";"femmine";"35-39 anni";39693;38791
"8";"Abruzzo";"femmine";"40-44 anni";46056;44585
"9";"Abruzzo";"femmine";"45-49 anni";51604;50730
"10";"Abruzzo";"femmine";"5-9 anni";26802;26329
"11";"Abruzzo";"femmine";"50-54 anni";53698;53532
"12";"Abruzzo";"femmine";"55-59 anni";49471;50577
"13";"Abruzzo";"femmine";"60-64 anni";44792;45524
"14";"Abruzzo";"femmine";"65-69 anni";41596;41636
"15";"Abruzzo";"femmine";"70-74 anni";37013;38939
"16";"Abruzzo";"femmine";"75-79 anni";31914;30823
"17";"Abruzzo";"femmine";"80-84 anni";28561;29173
"18";"Abruzzo";"femmine";"85-89 anni";21010;21134
"19";"Abruzzo";"femmine";"90-94 anni";10375;10500
"20";"Abruzzo";"femmine";"95-99 anni";2900;3040
"21";"Abruzzo";"femmine";"fino a 4 anni";23485;22693
"22";"Abruzzo";"femmine";"totale";665584;662198
"23";"Abruzzo";"maschi";"10-14 anni";29607;29423
"24";"Abruzzo";"maschi";"100 anni e più";65;63
"25";"Abruzzo";"maschi";"15-19 anni";30574;30437
"26";"Abruzzo";"maschi";"20-24 anni";32942;32356
"27";"Abruzzo";"maschi";"25-29 anni";36271;35116
"28";"Abruzzo";"maschi";"30-34 anni";37506;36745
"29";"Abruzzo";"maschi";"35-39 anni";40723;39727
"30";"Abruzzo";"maschi";"40-44 anni";46727;45175
"31";"Abruzzo";"maschi";"45-49 anni";50106;49570
"32";"Abruzzo";"maschi";"5-9 anni";28477;27984
"33";"Abruzzo";"maschi";"50-54 anni";52245;51971
"34";"Abruzzo";"maschi";"55-59 anni";46470;48077
"35";"Abruzzo";"maschi";"60-64 anni";41879;42468
"36";"Abruzzo";"maschi";"65-69 anni";38108;38077
"37";"Abruzzo";"maschi";"70-74 anni";33402;34953
"38";"Abruzzo";"maschi";"75-79 anni";26433;25857
"39";"Abruzzo";"maschi";"80-84 anni";20983;21655
"40";"Abruzzo";"maschi";"85-89 anni";12317;12526
"41";"Abruzzo";"maschi";"90-94 anni";4402;4621
"42";"Abruzzo";"maschi";"95-99 anni";909;961
"43";"Abruzzo";"maschi";"fino a 4 anni";24915;23981
"44";"Abruzzo";"maschi";"totale";635061;631743
"45";"Abruzzo";"totale";"10-14 anni";57544;57316
"46";"Abruzzo";"totale";"100 anni e più";385;393
"47";"Abruzzo";"totale";"15-19 anni";58578;58345
"48";"Abruzzo";"totale";"20-24 anni";63041;61884
"49";"Abruzzo";"totale";"25-29 anni";70209;68199
"50";"Abruzzo";"totale";"30-34 anni";73822;72195
"51";"Abruzzo";"totale";"35-39 anni";80416;78518
"52";"Abruzzo";"totale";"40-44 anni";92783;89760
"53";"Abruzzo";"totale";"45-49 anni";101710;100300
"54";"Abruzzo";"totale";"5-9 anni";55279;54313
"55";"Abruzzo";"totale";"50-54 anni";105943;105503
"56";"Abruzzo";"totale";"55-59 anni";95941;98654
"57";"Abruzzo";"totale";"60-64 anni";86671;87992
"58";"Abruzzo";"totale";"65-69 anni";79704;79713
"59";"Abruzzo";"totale";"70-74 anni";70415;73892
"60";"Abruzzo";"totale";"75-79 anni";58347;56680
"61";"Abruzzo";"totale";"80-84 anni";49544;50828
"62";"Abruzzo";"totale";"85-89 anni";33327;33660
"63";"Abruzzo";"totale";"90-94 anni";14777;15121
"64";"Abruzzo";"totale";"95-99 anni";3809;4001
"65";"Abruzzo";"totale";"fino a 4 anni";48400;46674
"66";"Abruzzo";"totale";"totale";1300645;1293941
"67";"Agrigento";"femmine";"10-14 anni";10339;10109
"68";"Agrigento";"femmine";"100 anni e più";77;79
"69";"Agrigento";"femmine";"15-19 anni";11541;11237
"70";"Agrigento";"femmine";"20-24 anni";11838;11780
"71";"Agrigento";"femmine";"25-29 anni";12675;12210
"72";"Agrigento";"femmine";"30-34 anni";12282;12061
"73";"Agrigento";"femmine";"35-39 anni";12722;12432
"74";"Agrigento";"femmine";"40-44 anni";14656;13990
"75";"Agrigento";"femmine";"45-49 anni";16265;16026
"76";"Agrigento";"femmine";"5-9 anni";9207;8886
"77";"Agrigento";"femmine";"50-54 anni";17298;17189
"78";"Agrigento";"femmine";"55-59 anni";15507;15962
"79";"Agrigento";"femmine";"60-64 anni";14253;14436
"80";"Agrigento";"femmine";"65-69 anni";12930;12869
"81";"Agrigento";"femmine";"70-74 anni";11981;12490
"82";"Agrigento";"femmine";"75-79 anni";9975;9545
"83";"Agrigento";"femmine";"80-84 anni";8830;8996
"84";"Agrigento";"femmine";"85-89 anni";5981;6055
"85";"Agrigento";"femmine";"90-94 anni";2708;2704
"86";"Agrigento";"femmine";"95-99 anni";594;664
"87";"Agrigento";"femmine";"fino a 4 anni";8019;7768
"88";"Agrigento";"femmine";"totale";219678;217488
"89";"Agrigento";"maschi";"10-14 anni";11056;10713
"90";"Agrigento";"maschi";"100 anni e più";21;19
"91";"Agrigento";"maschi";"15-19 anni";12665;12141
"92";"Agrigento";"maschi";"20-24 anni";13067;12983
"93";"Agrigento";"maschi";"25-29 anni";13206;12768
"94";"Agrigento";"maschi";"30-34 anni";12781;12551
"95";"Agrigento";"maschi";"35-39 anni";12954;12550
"96";"Agrigento";"maschi";"40-44 anni";14366;14018
"97";"Agrigento";"maschi";"45-49 anni";15474;15004
"98";"Agrigento";"maschi";"5-9 anni";9646;9417
"99";"Agrigento";"maschi";"50-54 anni";16028;15987
"100";"Agrigento";"maschi";"55-59 anni";14313;14846
"101";"Agrigento";"maschi";"60-64 anni";12982;13048
"102";"Agrigento";"maschi";"65-69 anni";11429;11421
"103";"Agrigento";"maschi";"70-74 anni";10356;10894
"104";"Agrigento";"maschi";"75-79 anni";7847;7616
"105";"Agrigento";"maschi";"80-84 anni";6354;6415
"106";"Agrigento";"maschi";"85-89 anni";3681;3780
"107";"Agrigento";"maschi";"90-94 anni";1287;1330
"108";"Agrigento";"maschi";"95-99 anni";233;240
"109";"Agrigento";"maschi";"fino a 4 anni";8579;8259
"110";"Agrigento";"maschi";"totale";208325;206000
"111";"Agrigento";"totale";"10-14 anni";21395;20822
"112";"Agrigento";"totale";"100 anni e più";98;98
"113";"Agrigento";"totale";"15-19 anni";24206;23378
"114";"Agrigento";"totale";"20-24 anni";24905;24763
"115";"Agrigento";"totale";"25-29 anni";25881;24978
"116";"Agrigento";"totale";"30-34 anni";25063;24612
"117";"Agrigento";"totale";"35-39 anni";25676;24982
"118";"Agrigento";"totale";"40-44 anni";29022;28008
"119";"Agrigento";"totale";"45-49 anni";31739;31030
"120";"Agrigento";"totale";"5-9 anni";18853;18303
"121";"Agrigento";"totale";"50-54 anni";33326;33176
"122";"Agrigento";"totale";"55-59 anni";29820;30808
"123";"Agrigento";"totale";"60-64 anni";27235;27484
"124";"Agrigento";"totale";"65-69 anni";24359;24290
"125";"Agrigento";"totale";"70-74 anni";22337;23384
"126";"Agrigento";"totale";"75-79 anni";17822;17161
"127";"Agrigento";"totale";"80-84 anni";15184;15411
"128";"Agrigento";"totale";"85-89 anni";9662;9835
"129";"Agrigento";"totale";"90-94 anni";3995;4034
"130";"Agrigento";"totale";"95-99 anni";827;904
"131";"Agrigento";"totale";"fino a 4 anni";16598;16027
"132";"Agrigento";"totale";"totale";428003;423488
"133";"Alessandria";"femmine";"10-14 anni";8260;8231
"134";"Alessandria";"femmine";"100 anni e più";131;126
"135";"Alessandria";"femmine";"15-19 anni";8167;8289
"136";"Alessandria";"femmine";"20-24 anni";8438;8365
"137";"Alessandria";"femmine";"25-29 anni";9276;9182
"138";"Alessandria";"femmine";"30-34 anni";9925;9717
"139";"Alessandria";"femmine";"35-39 anni";11115;10888
"140";"Alessandria";"femmine";"40-44 anni";14424;13720
"141";"Alessandria";"femmine";"45-49 anni";16686;16147
"142";"Alessandria";"femmine";"5-9 anni";7761;7544
"143";"Alessandria";"femmine";"50-54 anni";17945;17836
"144";"Alessandria";"femmine";"55-59 anni";16357;17009
"145";"Alessandria";"femmine";"60-64 anni";14877;15036
"146";"Alessandria";"femmine";"65-69 anni";14127;14109
"147";"Alessandria";"femmine";"70-74 anni";13909;14104
"148";"Alessandria";"femmine";"75-79 anni";13082;12564
"149";"Alessandria";"femmine";"80-84 anni";11236;11509
"150";"Alessandria";"femmine";"85-89 anni";8314;8328
"151";"Alessandria";"femmine";"90-94 anni";4204;4184
"152";"Alessandria";"femmine";"95-99 anni";1199;1243
"153";"Alessandria";"femmine";"fino a 4 anni";6657;6411
"154";"Alessandria";"femmine";"totale";216090;214542
"155";"Alessandria";"maschi";"10-14 anni";8735;8782
"156";"Alessandria";"maschi";"100 anni e più";24;17
"157";"Alessandria";"maschi";"15-19 anni";8869;8724
"158";"Alessandria";"maschi";"20-24 anni";9530;9543
"159";"Alessandria";"maschi";"25-29 anni";9901;9853
"160";"Alessandria";"maschi";"30-34 anni";10118;10049
"161";"Alessandria";"maschi";"35-39 anni";11362;11045
"162";"Alessandria";"maschi";"40-44 anni";14609;13783
"163";"Alessandria";"maschi";"45-49 anni";16728;16346
"164";"Alessandria";"maschi";"5-9 anni";8382;8083
"165";"Alessandria";"maschi";"50-54 anni";18000;17816
"166";"Alessandria";"maschi";"55-59 anni";16110;16690
"167";"Alessandria";"maschi";"60-64 anni";14511;14710
"168";"Alessandria";"maschi";"65-69 anni";13278;13182
"169";"Alessandria";"maschi";"70-74 anni";12309;12651
"170";"Alessandria";"maschi";"75-79 anni";10448;10062
"171";"Alessandria";"maschi";"80-84 anni";7988;8306
"172";"Alessandria";"maschi";"85-89 anni";4376;4435
"173";"Alessandria";"maschi";"90-94 anni";1588;1637
"174";"Alessandria";"maschi";"95-99 anni";317;342
"175";"Alessandria";"maschi";"fino a 4 anni";7027;6690
"176";"Alessandria";"maschi";"totale";204210;202746
"177";"Alessandria";"totale";"10-14 anni";16995;17013
"178";"Alessandria";"totale";"100 anni e più";155;143
"179";"Alessandria";"totale";"15-19 anni";17036;17013
"180";"Alessandria";"totale";"20-24 anni";17968;17908
"181";"Alessandria";"totale";"25-29 anni";19177;19035
"182";"Alessandria";"totale";"30-34 anni";20043;19766
"183";"Alessandria";"totale";"35-39 anni";22477;21933
"184";"Alessandria";"totale";"40-44 anni";29033;27503
"185";"Alessandria";"totale";"45-49 anni";33414;32493
"186";"Alessandria";"totale";"5-9 anni";16143;15627
"187";"Alessandria";"totale";"50-54 anni";35945;35652
"188";"Alessandria";"totale";"55-59 anni";32467;33699
"189";"Alessandria";"totale";"60-64 anni";29388;29746
"190";"Alessandria";"totale";"65-69 anni";27405;27291
"191";"Alessandria";"totale";"70-74 anni";26218;26755
"192";"Alessandria";"totale";"75-79 anni";23530;22626
"193";"Alessandria";"totale";"80-84 anni";19224;19815
"194";"Alessandria";"totale";"85-89 anni";12690;12763
"195";"Alessandria";"totale";"90-94 anni";5792;5821
"196";"Alessandria";"totale";"95-99 anni";1516;1585
"197";"Alessandria";"totale";"fino a 4 anni";13684;13101
"198";"Alessandria";"totale";"totale";420300;417288
"199";"Ancona";"femmine";"10-14 anni";10564;10647
"200";"Ancona";"femmine";"100 anni e più";125;130
"201";"Ancona";"femmine";"15-19 anni";10208;10246
"202";"Ancona";"femmine";"20-24 anni";10297;10436
"203";"Ancona";"femmine";"25-29 anni";11103;10879
"204";"Ancona";"femmine";"30-34 anni";11894;11657
"205";"Ancona";"femmine";"35-39 anni";14039;13579
"206";"Ancona";"femmine";"40-44 anni";17397;16780
"207";"Ancona";"femmine";"45-49 anni";18905;18677
"208";"Ancona";"femmine";"5-9 anni";10128;9832
"209";"Ancona";"femmine";"50-54 anni";19089;19073
"210";"Ancona";"femmine";"55-59 anni";17318;17883
"211";"Ancona";"femmine";"60-64 anni";15910;16240
"212";"Ancona";"femmine";"65-69 anni";14803;14813
"213";"Ancona";"femmine";"70-74 anni";13601;13978
"214";"Ancona";"femmine";"75-79 anni";12806;12305
"215";"Ancona";"femmine";"80-84 anni";11606;11862
"216";"Ancona";"femmine";"85-89 anni";8176;8300
"217";"Ancona";"femmine";"90-94 anni";4453;4409
"218";"Ancona";"femmine";"95-99 anni";1295;1362
"219";"Ancona";"femmine";"fino a 4 anni";8316;7896
"220";"Ancona";"femmine";"totale";242033;240984
"221";"Ancona";"maschi";"10-14 anni";11156;11299
"222";"Ancona";"maschi";"100 anni e più";20;19
"223";"Ancona";"maschi";"15-19 anni";11017;11065
"224";"Ancona";"maschi";"20-24 anni";11416;11536
"225";"Ancona";"maschi";"25-29 anni";11711;11682
"226";"Ancona";"maschi";"30-34 anni";11918;11621
"227";"Ancona";"maschi";"35-39 anni";14076;13578
"228";"Ancona";"maschi";"40-44 anni";17657;16879
"229";"Ancona";"maschi";"45-49 anni";18533;18682
"230";"Ancona";"maschi";"5-9 anni";10835;10354
"231";"Ancona";"maschi";"50-54 anni";18359;18223
"232";"Ancona";"maschi";"55-59 anni";16450;17110
"233";"Ancona";"maschi";"60-64 anni";14553;14718
"234";"Ancona";"maschi";"65-69 anni";13380;13450
"235";"Ancona";"maschi";"70-74 anni";12245;12609
"236";"Ancona";"maschi";"75-79 anni";10103;9787
"237";"Ancona";"maschi";"80-84 anni";8056;8330
"238";"Ancona";"maschi";"85-89 anni";4587;4731
"239";"Ancona";"maschi";"90-94 anni";1751;1769
"240";"Ancona";"maschi";"95-99 anni";365;372
"241";"Ancona";"maschi";"fino a 4 anni";8945;8653
"242";"Ancona";"maschi";"totale";227133;226467
"243";"Ancona";"totale";"10-14 anni";21720;21946
"244";"Ancona";"totale";"100 anni e più";145;149
"245";"Ancona";"totale";"15-19 anni";21225;21311
"246";"Ancona";"totale";"20-24 anni";21713;21972
"247";"Ancona";"totale";"25-29 anni";22814;22561
"248";"Ancona";"totale";"30-34 anni";23812;23278
"249";"Ancona";"totale";"35-39 anni";28115;27157
"250";"Ancona";"totale";"40-44 anni";35054;33659
"251";"Ancona";"totale";"45-49 anni";37438;37359
"252";"Ancona";"totale";"5-9 anni";20963;20186
"253";"Ancona";"totale";"50-54 anni";37448;37296
"254";"Ancona";"totale";"55-59 anni";33768;34993
"255";"Ancona";"totale";"60-64 anni";30463;30958
"256";"Ancona";"totale";"65-69 anni";28183;28263
"257";"Ancona";"totale";"70-74 anni";25846;26587
"258";"Ancona";"totale";"75-79 anni";22909;22092
"259";"Ancona";"totale";"80-84 anni";19662;20192
"260";"Ancona";"totale";"85-89 anni";12763;13031
"261";"Ancona";"totale";"90-94 anni";6204;6178
"262";"Ancona";"totale";"95-99 anni";1660;1734
"263";"Ancona";"totale";"fino a 4 anni";17261;16549
"264";"Ancona";"totale";"totale";469166;467451
"265";"Arezzo";"femmine";"10-14 anni";7471;7354
"266";"Arezzo";"femmine";"100 anni e più";67;74
"267";"Arezzo";"femmine";"15-19 anni";7161;7337
"268";"Arezzo";"femmine";"20-24 anni";7263;7235
"269";"Arezzo";"femmine";"25-29 anni";8115;8060
"270";"Arezzo";"femmine";"30-34 anni";9233;8988
"271";"Arezzo";"femmine";"35-39 anni";10003;9773
"272";"Arezzo";"femmine";"40-44 anni";12430;11933
"273";"Arezzo";"femmine";"45-49 anni";13667;13493
"274";"Arezzo";"femmine";"5-9 anni";6943;6796
"275";"Arezzo";"femmine";"50-54 anni";14133;14183
"276";"Arezzo";"femmine";"55-59 anni";12779;13100
"277";"Arezzo";"femmine";"60-64 anni";11439;11525
"278";"Arezzo";"femmine";"65-69 anni";10850;10743
"279";"Arezzo";"femmine";"70-74 anni";10520;11105
"280";"Arezzo";"femmine";"75-79 anni";8987;8631
"281";"Arezzo";"femmine";"80-84 anni";8022;8182
"282";"Arezzo";"femmine";"85-89 anni";5602;5675
"283";"Arezzo";"femmine";"90-94 anni";2980;2928
"284";"Arezzo";"femmine";"95-99 anni";857;897
"285";"Arezzo";"femmine";"fino a 4 anni";5932;5733
"286";"Arezzo";"femmine";"totale";174454;173745
"287";"Arezzo";"maschi";"10-14 anni";7762;7729
"288";"Arezzo";"maschi";"100 anni e più";21;16
"289";"Arezzo";"maschi";"15-19 anni";7708;7739
