"Ateco Code","Description","Registered","Active","Signed","Ceased","Change","Registered Societ√† di capitale","Active Societ√† di capitale","Signed Societ√† di capitale","Ceased Societ√† di capitale","Change Societ√† di capitale","Registered Societ√† di persone","Active Societ√† di persone","Signed Societ√† di persone","Ceased Societ√† di persone","Change Societ√† di eersone","Registered Ditte individuali","Active Ditte individuali","Signed Ditte individuali","Ceased Ditte individuali","Change Ditte individuali","Registered Other forms","Active Other forms","Signed Other forms","Ceased Other forms","Change Other forms","Year","Percentage active","Percentage change active","Percentage change active Societ√† di capitale","Percentage change active Societ√† di persone","Percentage change active Ditte individuali","Percentage change active Other forms","Percentage change ceased","Percentage change ceased Societ√† di capitale","Percentage change ceased Societ√† di persone","Percentage change ceased Ditte individuali","Percentage change ceased Other forms"
"A","Agricoltura, silvicoltura pesca                             ",859808,850999,28115,49042,3020,12814,10650,309,324,864,58032,56281,2075,1734,872,773425,772785,25607,46527,990,15537,11283,124,457,294,"2010",98.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A01","Coltivazioni agricole e produzione di prodotti animali, c.. ",837033,829134,27002,47822,2724,11753,9815,290,294,802,54648,53150,2027,1625,797,757354,756779,24577,45501,901,13278,9390,108,402,224,"2010",99.06,-2.57,-7.84,-5.56,-2.07,-16.78,-2.49,-9.26,-6.29,-2.21,-12.04
"A02","Silvicoltura ed utilizzo di aree forestali                  ",10390,10045,647,603,150,568,486,16,16,38,1160,1066,35,44,22,7784,7743,585,519,62,878,750,11,24,28,"2010",96.68,-98.79,-95.05,-97.99,-98.98,-92.01,-98.74,-94.56,-97.29,-98.86,-94.03
"A03","Pesca e acquacoltura                                        ",12385,11820,466,617,146,493,349,3,14,24,2224,2065,13,65,53,8287,8263,445,507,27,1381,1143,5,31,42,"2010",95.44,17.67,-28.19,93.71,6.72,52.4,2.32,-12.5,47.73,-2.31,29.17
"B","Estrazione di minerali da cave e miniere                    ",5035,3848,17,223,72,2823,2127,7,80,65,1070,806,1,60,-2,956,815,9,74,6,186,100,0,9,3,"2010",76.43,-67.45,509.46,-60.97,-90.14,-91.25,-63.86,471.43,-7.69,-85.4,-70.97
"B05","Estrazione di carbone (esclusa torba)                       ",24,12,0,3,0,14,6,0,1,0,6,4,0,1,0,2,2,0,0,0,2,0,0,1,0,"2010",50,-99.69,-99.72,-99.5,-99.75,-100,-98.65,-98.75,-98.33,-100,-88.89
"B06","Estraz.di petrolio greggio e di gas naturale                ",77,56,0,3,1,55,36,0,1,1,2,1,0,0,0,16,16,0,1,0,4,3,0,1,0,"2010",72.73,366.67,500,-75,700,Inf,0,0,-100,Inf,0
"B07","Estrazione di minerali metalliferi                          ",73,29,0,3,-1,47,18,0,0,-1,16,7,0,2,0,6,2,0,1,0,4,2,0,0,0,"2010",39.73,-48.21,-50,600,-87.5,-33.33,0,-100,Inf,0,-100
"B08","Altre attivit‡ di estrazione di minerali da cave e miniere  ",4811,3711,14,213,69,2675,2040,5,77,64,1040,789,1,57,-2,927,791,8,72,5,169,91,0,7,2,"2010",77.14,12696.55,11233.33,11171.43,39450,4450,7000,Inf,2750,7100,Inf
"B09","Attivit‡ dei servizi di supporto all'estrazione             ",50,40,3,1,3,32,27,2,1,1,6,5,0,0,0,5,4,1,0,1,7,4,0,0,1,"2010",80,-98.92,-98.68,-99.37,-99.49,-95.6,-99.53,-98.7,-100,-100,-100
"C","Attivit‡ manifatturiere                                     ",627546,546379,21000,37340,8643,201599,153385,2827,6485,7232,152412,128079,1016,7342,1063,263207,258536,17014,23120,78,10328,6379,143,393,270,"2010",87.07,1365847.5,567992.59,2561480,6463300,159375,3733900,648400,Inf,Inf,Inf
"C10","Industrie alimentari                                        ",63885,56432,1413,2937,1324,13142,10002,119,374,655,20068,17417,138,649,461,27916,27291,1138,1813,159,2759,1722,18,101,49,"2010",88.33,-89.67,-93.48,-86.4,-89.44,-73.01,-92.13,-94.23,-91.16,-92.16,-74.3
"C11","Industria delle bevande                                     ",4013,3298,32,159,72,1883,1473,5,58,73,1010,867,3,41,4,785,735,24,54,-3,335,223,0,6,-2,"2010",82.18,-94.16,-85.27,-95.02,-97.31,-87.05,-94.59,-84.49,-93.68,-97.02,-94.06
