"nuts2_codice","anno","popolazione","tasso_fertilita","aspettativa_vita"
"AT11","2009",282777,1.27,77.5
"AT12","2009",1602958,1.42,77.4
"AT13","2009",1680135,1.37,76.5
"AT21","2009",559462,1.37,77.7
"AT22","2009",1204795,1.32,77.6
"AT31","2009",1408619,1.51,77.9
"AT32","2009",526699,1.39,78.7
"AT33","2009",702502,1.38,78.5
"AT34","2009",367056,1.51,78.8
"BE10","2009",1068532,2.1,76.9
"BE21","2009",1731174,1.91,78.6
"BE22","2009",833160,1.66,78.8
"BE23","2009",1420415,1.8,77.5
"BE24","2009",1068838,1.74,78.8
"BE25","2009",1155290,1.77,78.2
"BE31","2009",375645,1.83,78.5
"BE32","2009",1304436,1.83,74.5
"BE33","2009",1060035,1.83,76
"BE34","2009",266950,1.75,75.9
"BE35","2009",468605,1.84,75.4
"BG31","2009",881573,1.86,69.7
"BG32","2009",884857,1.59,69.4
"BG33","2009",976062,1.73,69.7
"BG34","2009",1094253,1.95,69.6
"BG41","2009",2129855,1.47,70.8
"BG42","2009",1500519,1.69,70.8
"CH01","2009",1437592,1.53,79.6
"CH02","2009",1730412,1.53,79.4
"CH03","2009",1049518,1.43,80
"CH04","2009",1332727,1.51,80.4
"CH05","2009",1085698,1.46,79.9
"CH06","2009",733173,1.52,80.1
"CH07","2009",332736,1.35,80.7
"CY00","2009",796930,1.47,78.5
"CZ01","2009",1214300,1.41,76.5
"CZ02","2009",1230405,1.58,74.1
"CZ03","2009",1202477,1.51,74.8
"CZ04","2009",1134887,1.59,72.2
"CZ05","2009",1503865,1.55,74.8
"CZ06","2009",1666778,1.48,74.8
"CZ07","2009",1230437,1.45,73.8
"CZ08","2009",1242634,1.49,72.7
"DE11","2009",4006313,1.36,79.5
"DE12","2009",2740164,1.31,78.8
"DE13","2009",2195681,1.38,79.6
"DE14","2009",1807348,1.39,79.5
"DE21","2009",4335137,1.36,79.2
"DE22","2009",1191910,1.34,77.3
"DE23","2009",1083780,1.31,77.3
"DE24","2009",1082516,1.28,77
"DE25","2009",1712405,1.32,77.7
"DE26","2009",1327497,1.28,78.7
"DE27","2009",1786483,1.4,78.6
"DE30","2009",3431675,1.3,77.9
"DE40","2009",2522493,1.4,76.8
"DE50","2009",661866,1.29,76.8
"DE60","2009",1772100,1.25,78.3
"DE71","2009",3784767,1.39,79
"DE72","2009",1048683,1.28,78
"DE73","2009",1231503,1.34,77.7
"DE80","2009",1664356,1.42,75.7
"DE91","2009",1623649,1.3,77.4
"DE92","2009",2149181,1.33,77.7
"DE93","2009",1696643,1.46,77.3
"DE94","2009",2477771,1.44,77.3
"DEA1","2009",5191042,1.35,77.1
"DEA2","2009",4386271,1.34,78.2
"DEA3","2009",2605365,1.39,77.3
"DEA4","2009",2050638,1.47,77.9
"DEA5","2009",3699748,1.34,77
"DEB1","2009",1499457,1.38,77.6
"DEB2","2009",515322,1.34,77.9
"DEB3","2009",2013572,1.31,78.1
"DEC0","2009",1030324,1.23,76.8
"DED2","2009",1638111,1.49,77.5
"DEE0","2009",2381872,1.37,75.6
"DEF0","2009",2834260,1.4,77.7
"DEG0","2009",2267763,1.36,76.6
"DK01","2009",1662285,1.71,76.6
"DK02","2009",821252,1.93,76.2
"DK03","2009",1199667,1.96,76.8
"DK04","2009",1247732,1.91,77.5
"DK05","2009",580515,1.93,77.2
"EE00","2009",1335740,1.7,70
"EL30","2009",3999457,1.4,77.3
"EL41","2009",199517,1.47,77.6
"EL42","2009",331815,1.5,79
"EL43","2009",618317,1.74,78.4
"EL51","2009",608639,1.62,76.3
"EL52","2009",1913980,1.52,77.3
"EL53","2009",286672,1.47,78
"EL54","2009",345167,1.43,79
"EL61","2009",745569,1.59,77.6
"EL62","2009",208161,1.53,78.1
"EL63","2009",692990,1.53,77.1
"EL64","2009",557291,1.52,78.3
"EL65","2009",587170,1.57,77.8
"ES11","2009",2767469,1.1,78.3
"ES12","2009",1076276,1.08,77.9
"ES13","2009",584657,1.26,78.7
"ES21","2009",2174077,1.29,78.7
"ES22","2009",627286,1.44,80
"ES23","2009",319788,1.41,79.8
"ES24","2009",1342788,1.35,79.2
"ES30","2009",6327559,1.4,80
"ES41","2009",2549172,1.18,80
"ES42","2009",2066428,1.45,79.9
"ES43","2009",1094693,1.35,78.1
"ES51","2009",7427092,1.47,79.1
"ES52","2009",4981284,1.36,78.6
"ES53","2009",1070167,1.36,78.5
"ES61","2009",8212968,1.48,77.5
"ES62","2009",1441787,1.62,78.3
"ES63","2009",76927,1.97,75.6
"ES64","2009",73365,2.26,78.1
"ES70","2009",2025490,1.14,78.5
"FI19","2009",1349600,1.95,77
"FI1B","2009",1501511,1.69,77.3
"FI1C","2009",1151466,1.76,76.1
"FI1D","2009",1296281,2.11,75.9
"FI20","2009",27456,1.69,79.5
"FR10","2009",11728240,2.02,80
"FRB0","2009",2538590,2.04,78
"FRC1","2009",1642440,1.93,77.5
"FRC2","2009",1168208,2.04,78
"FRD1","2009",1470880,2.01,77.2
"FRD2","2009",1832942,2.05,76.2
"FRE1","2009",4033197,2.08,74.7
"FRE2","2009",1911157,2.07,76
"FRF1","2009",1843053,1.84,78.1
"FRF2","2009",1337953,1.98,76.6
"FRF3","2009",2350112,1.82,77
"FRG0","2009",3539048,2.11,78.3
"FRH0","2009",3175064,2.02,76.9
"FRI1","2009",3206137,1.83,78.4
"FRI2","2009",741785,1.84,77.9
"FRI3","2009",1760575,1.92,77.9
"FRJ1","2009",2610890,1.96,78
"FRJ2","2009",2862707,1.84,79.4
"FRK1","2009",1343964,1.85,77
"FRK2","2009",6174040,2.03,79.4
"FRL0","2009",4889053,2.01,78.8
"FRM0","2009",305674,1.64,78.1
"FRY2","2009",396404,2.07,78.2
"FRY3","2009",224469,3.49,NA
"FRY4","2009",816364,2.37,75
"HR03","2009",1415015,1.57,74.6
"HR04","2009",2894781,1.59,72
"HU11","2009",1712210,1.14,73.1
"HU12","2009",1213290,1.38,70.9
"HU21","2009",1103132,1.28,69.9
"HU22","2009",998187,1.19,70.8
"HU23","2009",952982,1.29,69.8
"HU31","2009",1223238,1.47,68.5
"HU32","2009",1502409,1.42,69.5
"HU33","2009",1325527,1.25,70
"HUXX","2009",0,NA,NA
"IS00","2009",319368,2.23,79.8
"ITC1","2009",4356322,1.43,79
