"ripartizione";"regione";"provincia";"code";"code_ripartizione";"code_regione";"code_provincia";"Codice Istat del Comune numerico";"comune";"Codice Regione";"Codice Istat del Comune alfanumerico";"Denominazione (Italiana e straniera)";"Denominazione altra lingua";"Superficie territoriale (kmq) al 01/01/2021";"Popolazione legale 2011 (09/10/2011)";"Popolazione residente al 31/12/2019";"Zona altimetrica";"Altitudine del centro (metri)";"Comune litoraneo";"Comune isolano";"Grado di urbanizzazione";"Zone costiere";"Densità popolazione (kmq)";"rank_popolazione";"rank_densita";"rank_estensione"
"Nord-ovest";"Piemonte";"Torino";"TO";1;1;1;"1293";"Verolengo";"01";"001293";"Verolengo";NA;29,4882;4962;4832;"Pianura";169;0;0;"Zone rurali";0;163,862155031504;2460;2962;3092
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2072";"Lozzolo";"01";"002072";"Lozzolo";NA;6,6672;819;817;"Collina interna";320;0;0;"Zone rurali";0;122,540196784257;6307,5;3604;6990
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2078";"Mollia";"01";"002078";"Mollia";NA;13,9178;104;96;"Montagna interna";880;0;0;"Zone rurali";0;6,89764186868614;7846;7762;5386
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2079";"Moncrivello";"01";"002079";"Moncrivello";NA;20,1818;1465;1362;"Pianura";322;0;0;"Zone rurali";0;67,4865472851777;5287,5;4965;4260
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2082";"Motta de' Conti";"01";"002082";"Motta de' Conti";NA;11,715;804;746;"Pianura";107;0;0;"Zone rurali";0;63,6790439607341;6456;5106;5873
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2088";"Olcenengo";"01";"002088";"Olcenengo";NA;16,5035;754;792;"Pianura";149;0;0;"Zone rurali";0;47,9898203411398;6365,5;5698;4887
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2089";"Oldenico";"01";"002089";"Oldenico";NA;6,527;252;211;"Pianura";143;0;0;"Zone rurali";0;32,3272560134825;7644,5;6409;7024
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2090";"Palazzolo Vercellese";"01";"002090";"Palazzolo Vercellese";NA;13,9396;1292;1145;"Pianura";137;0;0;"Zone rurali";0;82,1400901030159;5672;4495;5380
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2091";"Pertengo";"01";"002091";"Pertengo";NA;8,2949;321;281;"Pianura";122;0;0;"Zone rurali";0;33,876237205994;7511;6325;6646
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2093";"Pezzana";"01";"002093";"Pezzana";NA;17,3517;1346;1288;"Pianura";117;0;0;"Zone rurali";0;74,2290380769607;5407,5;4750;4744
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2096";"Pila";"01";"002096";"Pila";NA;8,6903;137;139;"Montagna interna";686;0;0;"Zone rurali";0;15,994844826991;7783;7310;6549
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2097";"Piode";"01";"002097";"Piode";NA;13,5976;193;185;"Montagna interna";752;0;0;"Zone rurali";0;13,6053421191975;7696,5;7446;5444
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2102";"Postua";"01";"002102";"Postua";NA;16,1782;594;565;"Montagna interna";459;0;0;"Zone rurali";0;34,923539083458;6857,5;6286;4943
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2104";"Prarolo";"01";"002104";"Prarolo";NA;11,5388;672;712;"Pianura";117;0;0;"Zone rurali";0;61,704856657538;6535,5;5180;5908
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2107";"Quarona";"01";"002107";"Quarona";NA;16,156;4246;3932;"Montagna interna";406;0;0;"Zone rurali";0;243,377073533053;2884,5;2213;4947
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2108";"Quinto Vercellese";"01";"002108";"Quinto Vercellese";NA;10,9022;400;369;"Pianura";140;0;0;"Zone rurali";0;33,8463796297995;7317,5;6327;6069
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2110";"Rassa";"01";"002110";"Rassa";NA;43,2698;66;62;"Montagna interna";917;0;0;"Zone rurali";0;1,43287003868749;7889;7891;2052
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2113";"Rimella";"01";"002113";"Rimella";NA;26,2702;137;133;"Montagna interna";1176;0;0;"Zone rurali";0;5,06277074403697;7789;7822;3433
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2115";"Rive";"01";"002115";"Rive";NA;9,4089;469;447;"Pianura";126;0;0;"Zone rurali";0;47,5082103115136;7157;5732;6399
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2116";"Roasio";"01";"002116";"Roasio";NA;27,916;2465;2338;"Collina interna";278;0;0;"Zone rurali";0;83,7512537612838;4036,5;4447;3254
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2118";"Ronsecco";"01";"002118";"Ronsecco";NA;24,4754;580;535;"Pianura";145;0;0;"Zone rurali";0;21,8586825955858;6939;6960;3658
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2121";"Rossa";"01";"002121";"Rossa";NA;11,8379;194;176;"Montagna interna";813;0;0;"Zone rurali";0;14,8675018373191;7715;7376;5832
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2122";"Rovasenda";"01";"002122";"Rovasenda";NA;29,2681;979;925;"Pianura";221;0;0;"Zone rurali";0;31,6043747288003;6064;6446;3107
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2126";"Salasco";"01";"002126";"Salasco";NA;12,1875;237;217;"Pianura";148;0;0;"Zone rurali";0;17,8051282051282;7632;7196;5757
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2127";"Sali Vercellese";"01";"002127";"Sali Vercellese";NA;8,7766;114;102;"Pianura";139;0;0;"Zone rurali";0;11,621812547;7838;7559;6535
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2128";"Saluggia";"01";"002128";"Saluggia";NA;31,5981;4170;3892;"Pianura";194;0;0;"Zone rurali";0;123,171962871185;2898;3589;2884
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2131";"San Germano Vercellese";"01";"002131";"San Germano Vercellese";NA;30,6327;1768;1492;"Pianura";161;0;0;"Zone rurali";0;48,7061212364565;5072,5;5671;2976
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2133";"Santhià";"01";"002133";"Santhià";NA;53,1294;8825;8242;"Pianura";183;0;0;"Piccole città e sobborgo";0;155,130680941249;1509;3090;1570
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2134";"Scopa";"01";"002134";"Scopa";NA;22,5335;391;373;"Montagna interna";622;0;0;"Zone rurali";0;16,5531320034615;7306;7278;3934
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2135";"Scopello";"01";"002135";"Scopello";NA;18,2544;402;370;"Montagna interna";659;0;0;"Zone rurali";0;20,2690858094487;7314;7061;4567
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2137";"Serravalle Sesia";"01";"002137";"Serravalle Sesia";NA;20,9053;5141;4835;"Collina interna";313;0;0;"Piccole città e sobborgo";0;231,281062697019;2456;2312;4157,5
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2142";"Stroppiana";"01";"002142";"Stroppiana";NA;18,314;1258;1163;"Pianura";119;0;0;"Zone rurali";0;63,5033307851917;5637,5;5113;4558
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2147";"Tricerro";"01";"002147";"Tricerro";NA;12,2491;709;696;"Pianura";141;0;0;"Zone rurali";0;56,8205010980399;6570;5362;5737
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2148";"Trino";"01";"002148";"Trino";NA;70,6054;7437;6832;"Pianura";130;0;0;"Piccole città e sobborgo";0;96,7631370971625;1826;4147;1061
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2150";"Tronzano Vercellese";"01";"002150";"Tronzano Vercellese";NA;44,7508;3558;3416;"Pianura";182;0;0;"Zone rurali";0;76,3338309035816;3185;4680;1972
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2152";"Valduggia";"01";"002152";"Valduggia";NA;28,4259;2117;1931;"Montagna interna";390;0;0;"Zone rurali";0;67,9310065820255;4499,5;4951;3188
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2156";"Varallo";"01";"002156";"Varallo";NA;102,973;7542;7084;"Montagna interna";450;0;0;"Piccole città e sobborgo";0;68,7947325998077;1744,5;4925;560
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2158";"Vercelli";"01";"002158";"Vercelli";NA;79,7743;46308;46362;"Pianura";130;0;0;"Piccole città e sobborgo";0;581,164610657818;168;1016;894
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2163";"Villarboit";"01";"002163";"Villarboit";NA;25,5109;465;409;"Pianura";162;0;0;"Zone rurali";0;16,0323626371473;7221;7306;3535
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2164";"Villata";"01";"002164";"Villata";NA;14,5822;1618;1556;"Pianura";136;0;0;"Zone rurali";0;106,705435393836;4983;3911;5256
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2166";"Vocca";"01";"002166";"Vocca";NA;20,2573;162;160;"Montagna interna";506;0;0;"Zone rurali";0;7,89838724805379;7750,5;7730;4246
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2170";"Alto Sermenza";"01";"002170";"Alto Sermenza";NA;60,3259;190;151;"Montagna interna";906;0;0;"Zone rurali";0;2,50307082032759;7768,5;7872;1339
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2171";"Cellio con Breia";"01";"002171";"Cellio con Breia";NA;17,2793;1027;972;"Montagna interna";685;0;0;"Zone rurali";0;56,2522787381433;5983,5;5379;4767
"Centro";"Umbria";"Terni";"TR";3;10;55;"55023";"Orvieto";"10";"055023";"Orvieto";NA;281,2704;21064;20272;"Collina interna";325;0;0;"Piccole città e sobborgo";0;72,0729945276858;498;4815;48
"Centro";"Umbria";"Terni";"TR";3;10;55;"55024";"Otricoli";"10";"055024";"Otricoli";NA;27,4114;1915;1790;"Collina interna";209;0;0;"Zone rurali";0;65,3012980001022;4673,5;5043;3297
"Centro";"Umbria";"Terni";"TR";3;10;55;"55025";"Parrano";"10";"055025";"Parrano";NA;40,0911;590;487;"Collina interna";441;0;0;"Zone rurali";0;12,1473344457997;7058;7531;2238
"Centro";"Umbria";"Terni";"TR";3;10;55;"55026";"Penna in Teverina";"10";"055026";"Penna in Teverina";NA;10,0033;1056;1061;"Collina interna";302;0;0;"Zone rurali";0;106,064998550478;5830,5;3923;6260
"Centro";"Umbria";"Terni";"TR";3;10;55;"55027";"Polino";"10";"055027";"Polino";NA;19,5678;246;223;"Montagna interna";836;0;0;"Zone rurali";0;11,3962734696798;7612,5;7578;4355
"Centro";"Umbria";"Terni";"TR";3;10;55;"55028";"Porano";"10";"055028";"Porano";NA;13,604;1989;1909;"Collina interna";444;0;0;"Zone rurali";0;140,326374595707;4528;3293;5443
"Centro";"Umbria";"Terni";"TR";3;10;55;"55029";"San Gemini";"10";"055029";"San Gemini";NA;27,8956;4921;4888;"Collina interna";337;0;0;"Zone rurali";0;175,224766629863;2432;2825;3258
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2032";"Carisio";"01";"002032";"Carisio";NA;30,1062;864;766;"Pianura";183;0;0;"Zone rurali";0;25,4432641781427;6407;6762;3029
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2033";"Casanova Elvo";"01";"002033";"Casanova Elvo";NA;16,205;265;208;"Pianura";152;0;0;"Zone rurali";0;12,8355445850046;7650,5;7493;4940
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2035";"San Giacomo Vercellese";"01";"002035";"San Giacomo Vercellese";NA;9,6044;329;289;"Pianura";197;0;0;"Zone rurali";0;30,0903752446795;7494,5;6525;6361
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2041";"Cervatto";"01";"002041";"Cervatto";NA;9,538;48;58;"Montagna interna";1004;0;0;"Zone rurali";0;6,08093940029356;7892,5;7790;6378
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2042";"Cigliano";"01";"002042";"Cigliano";NA;25,3078;4547;4371;"Pianura";237;0;0;"Zone rurali";0;172,713550763006;2670;2857;3558
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2043";"Civiasco";"01";"002043";"Civiasco";NA;7,3878;265;252;"Montagna interna";716;0;0;"Zone rurali";0;34,1102899374645;7557,5;6311;6830
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2045";"Collobiano";"01";"002045";"Collobiano";NA;9,2234;105;88;"Pianura";143;0;0;"Zone rurali";0;9,5409501919032;7857,5;7666;6439
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2047";"Costanzana";"01";"002047";"Costanzana";NA;20,9676;816;746;"Pianura";129;0;0;"Zone rurali";0;35,5787023789084;6456;6255;4151
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2048";"Cravagliana";"01";"002048";"Cravagliana";NA;34,8563;278;255;"Montagna interna";615;0;0;"Zone rurali";0;7,31575066774156;7553;7752;2606
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2049";"Crescentino";"01";"002049";"Crescentino";NA;48,2233;7984;7745;"Pianura";154;0;0;"Piccole città e sobborgo";0;160,607009474673;1599;3011;1784
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2052";"Crova";"01";"002052";"Crova";NA;14,0162;410;402;"Pianura";167;0;0;"Zone rurali";0;28,6810975870778;7235,5;6608;5364
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2054";"Desana";"01";"002054";"Desana";NA;16,4768;1055;1063;"Pianura";131;0;0;"Zone rurali";0;64,5149543600699;5826;5077;4895
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2057";"Fobello";"01";"002057";"Fobello";NA;28,1403;219;187;"Montagna interna";873;0;0;"Zone rurali";0;6,6452738599091;7692,5;7770;3234
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2058";"Fontanetto Po";"01";"002058";"Fontanetto Po";NA;23,2424;1203;1086;"Pianura";143;0;0;"Zone rurali";0;46,7249509517089;5787,5;5770;3854
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2059";"Formigliana";"01";"002059";"Formigliana";NA;16,7629;550;484;"Pianura";157;0;0;"Zone rurali";0;28,8732856486646;7062,5;6600;4843
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2061";"Gattinara";"01";"002061";"Gattinara";NA;33,6659;8272;7782;"Collina interna";263;0;0;"Piccole città e sobborgo";0;231,153778749417;1593;2317;2696
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2062";"Ghislarengo";"01";"002062";"Ghislarengo";NA;12,503;899;822;"Pianura";206;0;0;"Zone rurali";0;65,7442213868672;6299;5026;5682
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2065";"Greggio";"01";"002065";"Greggio";NA;11,8817;382;344;"Pianura";161;0;0;"Zone rurali";0;28,9520859809623;7367,5;6597;5820
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2066";"Guardabosone";"01";"002066";"Guardabosone";NA;6,0875;340;339;"Montagna interna";479;0;0;"Zone rurali";0;55,6878850102669;7379,5;5409;7125
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2067";"Lamporo";"01";"002067";"Lamporo";NA;9,644;546;521;"Pianura";165;0;0;"Zone rurali";0;54,0232268768146;6979,5;5470;6352
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2068";"Lenta";"01";"002068";"Lenta";NA;18,9701;878;809;"Pianura";219;0;0;"Zone rurali";0;42,6460587977923;6323,5;5949;4446
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2070";"Lignana";"01";"002070";"Lignana";NA;22,574;579;535;"Pianura";134;0;0;"Zone rurali";0;23,6998316647471;6939;6863;3926,5
"Nord-ovest";"Piemonte";"Vercelli";"VC";1;1;2;"2071";"Livorno Ferraris";"01";"002071";"Livorno Ferraris";NA;58,028;4450;4227;"Pianura";188;0;0;"Zone rurali";0;72,8441442062453;2741;4791;1404
"Isole";"Sicilia";"Agrigento";"AG";5;19;84;"84039";"Sant'Angelo Muxaro";"19";"084039";"Sant'Angelo Muxaro";NA;64,5212;1471;1217;"Collina interna";335;0;0;"Zone rurali";0;18,8620174454288;5539;7146;1217
"Isole";"Sicilia";"Agrigento";"AG";5;19;84;"84040";"Santo Stefano Quisquina";"19";"084040";"Santo Stefano Quisquina";NA;85,5183;4897;4290;"Montagna interna";730;0;0;"Zone rurali";0;50,164701590186;2704;5612;784
"Isole";"Sicilia";"Agrigento";"AG";5;19;84;"84041";"Sciacca";"19";"084041";"Sciacca";NA;191,6678;40899;39246;"Pianura";60;1;0;"Piccole città e sobborgo";1;204,760528372528;207;2551;166
"Isole";"Sicilia";"Agrigento";"AG";5;19;84;"84042";"Siculiana";"19";"084042";"Siculiana";NA;40,9909;4632;4254;"Collina litoranea";129;1;0;"Zone rurali";1;103,779131465764;2726;3970;2187
"Isole";"Sicilia";"Agrigento";"AG";5;19;84;"84043";"Villafranca Sicula";"19";"084043";"Villafranca Sicula";NA;17,6292;1426;1369;"Collina interna";330;0;0;"Zone rurali";0;77,6552537834956;5272;4638;4701
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85001";"Acquaviva Platani";"19";"085001";"Acquaviva Platani";NA;14,6333;1041;911;"Collina interna";558;0;0;"Zone rurali";0;62,2552670962804;6098,5;5160;5249
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85002";"Bompensiere";"19";"085002";"Bompensiere";NA;19,9464;610;522;"Collina interna";283;0;0;"Zone rurali";0;26,1701359643845;6977,5;6721;4294
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85003";"Butera";"19";"085003";"Butera";NA;298,5222;4937;4364;"Collina litoranea";402;1;0;"Zone rurali";1;14,6186782758535;2672;7389;41
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85004";"Caltanissetta";"19";"085004";"Caltanissetta";NA;421,2465;61711;60294;"Collina interna";568;0;0;"Piccole città e sobborgo";0;143,132346500208;102;3257;14
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85005";"Campofranco";"19";"085005";"Campofranco";NA;36,113;3218;2832;"Collina interna";350;0;0;"Zone rurali";0;78,4205133885305;3602,5;4617;2515
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85006";"Delia";"19";"085006";"Delia";NA;12,3988;4325;3984;"Collina interna";420;0;0;"Zone rurali";0;321,321418201761;2859;1765;5699
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85007";"Gela";"19";"085007";"Gela";NA;279,2195;75668;72187;"Pianura";46;1;0;"Città";1;258,53137048093;79;2103;50
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85008";"Marianopoli";"19";"085008";"Marianopoli";NA;13,0705;2006;1728;"Collina interna";720;0;0;"Zone rurali";0;132,206113002563;4741,5;3428;5549
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85009";"Mazzarino";"19";"085009";"Mazzarino";NA;295,5893;12333;11316;"Collina interna";553;0;0;"Piccole città e sobborgo";0;38,2828471801922;1058;6131;42
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85010";"Milena";"19";"085010";"Milena";NA;24,6266;3178;2884;"Collina interna";436;0;0;"Zone rurali";0;117,109142147109;3563,5;3699;3638
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85011";"Montedoro";"19";"085011";"Montedoro";NA;14,5331;1643;1449;"Collina interna";450;0;0;"Zone rurali";0;99,7034356056175;5138;4068;5266
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85012";"Mussomeli";"19";"085012";"Mussomeli";NA;164,4247;11010;10205;"Collina interna";726;0;0;"Piccole città e sobborgo";0;62,0648844121352;1182;5168;237
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85013";"Niscemi";"19";"085013";"Niscemi";NA;96,8171;27975;25853;"Collina interna";332;0;0;"Piccole città e sobborgo";0;267,029274787202;373;2042;643
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85014";"Resuttano";"19";"085014";"Resuttano";NA;38,2733;2139;1857;"Collina interna";600;0;0;"Zone rurali";0;48,5194639605156;4598;5676;2349
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85015";"Riesi";"19";"085015";"Riesi";NA;66,9953;11814;10985;"Collina interna";330;0;0;"Piccole città e sobborgo";0;163,966726024064;1093,5;2960;1164
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85016";"San Cataldo";"19";"085016";"San Cataldo";NA;72,7746;23424;21095;"Collina interna";625;0;0;"Piccole città e sobborgo";0;289,867618647165;477;1915;1015
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85017";"Santa Caterina Villarmosa";"19";"085017";"Santa Caterina Villarmosa";NA;75,8139;5727;4995;"Collina interna";606;0;0;"Piccole città e sobborgo";0;65,8850158084467;2395;5023;965
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85018";"Serradifalco";"19";"085018";"Serradifalco";NA;41,9382;6265;5728;"Collina interna";504;0;0;"Piccole città e sobborgo";0;136,581922924684;2131,5;3360;2126
"Isole";"Sicilia";"Caltanissetta";"CL";5;19;85;"85019";"Sommatino";"19";"085019";"Sommatino";NA;34,7565;7267;6634;"Collina interna";359;0;0;"Piccole città e sobborgo";0;190,870772373513;1874,5;2669;2617
"Centro";"Umbria";"Terni";"TR";3;10;55;"55030";"San Venanzo";"10";"055030";"San Venanzo";NA;169,4518;2311;2202;"Collina interna";465;0;0;"Zone rurali";0;12,9948457319427;4173,5;7481;218
"Centro";"Umbria";"Terni";"TR";3;10;55;"55031";"Stroncone";"10";"055031";"Stroncone";NA;71,1557;4924;4734;"Collina interna";450;0;0;"Zone rurali";0;66,5301585115458;2506,5;5002;1049
